Epoch	Train_Loss	Val_Loss	OA	AA	Kappa
356	0.9910	0.1997	98.96	91.08	98.81
357	0.9369	0.1842	98.90	90.64	98.74
358	0.9803	0.1817	99.04	92.12	98.90
359	1.0000	0.1991	99.07	92.68	98.94
360	1.0250	0.2117	98.89	90.45	98.73
361	1.0427	0.1933	98.91	90.85	98.76
362	1.0514	0.1928	98.96	91.14	98.81
363	1.1314	0.2164	98.77	92.68	98.60
364	0.9127	0.1989	98.90	91.80	98.74
365	1.0658	0.1917	98.97	93.40	98.82
366	1.0766	0.2037	98.85	91.04	98.69
367	0.9522	0.1935	99.05	93.52	98.91
368	1.0876	0.1953	99.05	92.12	98.91
369	1.0430	0.1858	98.91	91.51	98.75
370	1.1636	0.1884	98.99	92.90	98.85
371	0.9823	0.1934	99.02	93.59	98.89
372	0.9470	0.1858	98.97	93.79	98.82
373	1.0234	0.1913	99.04	94.48	98.90
374	1.0460	0.1907	99.01	95.16	98.87
375	0.9341	0.1843	98.90	93.00	98.74
376	1.0769	0.1826	98.92	93.08	98.77
377	0.9534	0.1859	98.85	91.23	98.69
378	1.0357	0.1877	98.73	90.45	98.55
379	1.1419	0.2049	98.97	92.03	98.82
380	1.0911	0.2070	98.91	91.12	98.76
381	0.9679	0.1927	99.13	95.10	99.00
382	0.8864	0.1874	98.90	94.32	98.74
383	0.9980	0.2044	98.96	93.89	98.81
384	1.0997	0.1924	98.93	93.88	98.78
385	0.9909	0.1973	98.69	93.06	98.51
386	1.0143	0.1773	98.91	93.32	98.76
387	0.9303	0.1906	98.85	92.42	98.69
388	1.1115	0.1955	99.12	94.35	98.99
389	0.9572	0.1889	98.96	93.93	98.81
390	0.9497	0.1856	98.90	94.55	98.74
391	1.0476	0.1924	99.04	94.79	98.90
392	1.0510	0.2017	98.93	94.24	98.78
393	1.0081	0.1995	98.91	94.53	98.76
394	0.9359	0.1846	98.98	95.14	98.83
395	1.1215	0.2017	98.97	95.45	98.82
396	1.0656	0.1880	99.00	95.16	98.86
397	1.0213	0.1884	99.12	94.98	98.99
398	0.8795	0.1852	99.06	95.41	98.93
399	1.0872	0.1938	99.02	93.22	98.89
400	1.0753	0.1860	98.98	95.86	98.83
401	0.9478	0.1988	98.96	95.19	98.81
402	0.9464	0.2013	98.89	94.39	98.73
403	0.9510	0.1959	98.94	95.86	98.79
404	1.0783	0.1997	98.76	94.30	98.58
405	0.9974	0.1931	98.76	93.29	98.59
406	0.9846	0.1838	98.97	95.07	98.82
407	0.9949	0.1725	98.99	94.21	98.85
408	0.9466	0.1742	98.91	93.12	98.76
409	1.1602	0.1796	99.10	95.35	98.98
410	1.0734	0.1773	99.05	95.25	98.91
411	1.0283	0.1818	99.04	95.22	98.90
412	1.0596	0.1977	98.96	94.77	98.81
413	1.0955	0.1954	99.01	94.86	98.87
414	0.9987	0.1972	98.98	94.94	98.83
415	0.7690	0.1820	99.02	95.05	98.89
416	1.0237	0.1784	99.09	95.36	98.96
417	1.0438	0.1856	99.09	95.54	98.96
418	1.0538	0.1907	99.12	95.41	98.99
419	0.9670	0.1912	99.08	94.99	98.95
420	1.1448	0.1847	98.97	95.36	98.82
421	1.0870	0.1879	98.96	95.41	98.81
422	1.0166	0.1944	99.02	95.30	98.89
423	1.0555	0.1847	99.10	95.85	98.98
424	0.9487	0.1846	99.10	95.90	98.98
425	0.9985	0.1886	99.08	95.85	98.95
426	1.0225	0.1791	99.12	95.54	98.99
427	0.9950	0.1842	99.12	95.61	98.99
428	0.9637	0.1789	99.08	95.60	98.95
429	1.0145	0.1847	99.21	95.93	99.10
430	1.1055	0.1947	99.10	94.93	98.98
431	1.0663	0.1992	99.08	95.85	98.95
432	1.1029	0.1914	99.07	96.18	98.94
433	1.0203	0.1861	99.06	96.09	98.93
434	1.0838	0.1941	99.04	94.07	98.90
435	1.0660	0.1922	99.09	95.14	98.96
436	1.0567	0.1911	99.06	96.02	98.93
437	0.9844	0.1869	99.01	95.76	98.87
438	0.9999	0.1862	99.18	95.84	99.07
439	0.9515	0.1911	99.05	95.69	98.91
440	0.9913	0.1931	99.10	96.22	98.98
441	0.8892	0.1750	99.08	96.16	98.95
442	0.9072	0.1808	99.14	95.29	99.02
443	0.8964	0.1825	99.12	94.92	98.99
444	1.0409	0.1828	99.13	95.02	99.00
445	1.0073	0.1888	99.16	96.04	99.04
446	1.0916	0.1910	99.09	95.74	98.96
447	0.9333	0.1830	99.04	95.57	98.90
448	1.0558	0.1851	98.99	95.89	98.85
449	1.1190	0.1946	99.12	95.95	98.99
